campaign_id,arm,map,position,breach,first_breach_round,captures_from_qin,winner,started_at
chu_blockade_control_canonical,control,canonical,1,0,,0,wei,20260608_194327
chu_blockade_control_canonical,control,canonical,2,0,,1,yan,20260608_194327
chu_blockade_control_canonical,control,canonical,3,0,,3,yan,20260608_194327
chu_blockade_control_canonical,control,canonical,4,0,,0,"draw:chu,qi,wei,zhao",20260608_194327
chu_blockade_control_canonical,control,canonical,5,0,,0,qin,20260608_194327
chu_blockade_control_canonical,control,canonical,6,1,4,2,chu,20260608_194327
chu_blockade_control_canonical,control,canonical,7,1,6,9,chu,20260608_194327
chu_blockade_control_canonical,control,canonical,8,1,17,2,qi,20260608_194327
chu_blockade_control_canonical,control,canonical,9,1,3,7,chu,20260608_194327
chu_blockade_control_canonical,control,canonical,10,1,3,18,chu,20260608_194327
chu_blockade_control_canonical,control,canonical,11,1,4,5,yan,20260620_160555
chu_blockade_control_canonical,control,canonical,12,1,3,11,yan,20260620_160555
chu_blockade_control_canonical,control,canonical,13,1,4,16,qi,20260620_160555
chu_blockade_control_canonical,control,canonical,14,1,4,17,chu,20260620_160555
chu_blockade_control_canonical,control,canonical,15,1,2,13,"draw:chu,yan",20260620_160555
chu_blockade_control_canonical,control,canonical,16,1,3,16,yan,20260620_160555
chu_blockade_control_canonical,control,canonical,17,1,4,9,chu,20260620_160555
chu_blockade_control_severed,control,severed,1,1,9,2,wei,20260608_194327
chu_blockade_control_severed,control,severed,2,1,10,12,chu,20260608_194327
chu_blockade_control_severed,control,severed,3,1,5,13,yan,20260608_194328
chu_blockade_control_severed,control,severed,4,0,,3,qin,20260608_194328
chu_blockade_control_severed,control,severed,5,0,,0,"draw:chu,qi,wei",20260608_194328
chu_blockade_control_severed,control,severed,6,0,,4,yan,20260608_194328
chu_blockade_control_severed,control,severed,7,1,11,3,qi,20260608_194328
chu_blockade_control_severed,control,severed,8,1,7,12,yan,20260608_194328
chu_blockade_control_severed,control,severed,9,1,15,2,yan,20260608_194328
chu_blockade_control_severed,control,severed,10,0,,2,"draw:chu,yan",20260608_194328
chu_blockade_yarrow_canonical,yarrow,canonical,1,0,,0,zhao,20260604_102737
chu_blockade_yarrow_canonical,yarrow,canonical,2,0,,0,"draw:wei,yan",20260604_102737
chu_blockade_yarrow_canonical,yarrow,canonical,3,1,8,3,"draw:chu,wei",20260604_102737
chu_blockade_yarrow_canonical,yarrow,canonical,4,0,,0,yan,20260604_102737
chu_blockade_yarrow_canonical,yarrow,canonical,5,0,,0,"draw:chu,qi,qin,wei,zhao",20260604_102737
chu_blockade_yarrow_canonical,yarrow,canonical,6,0,,0,yan,20260604_102737
chu_blockade_yarrow_canonical,yarrow,canonical,7,1,11,4,yan,20260604_102737
chu_blockade_yarrow_canonical,yarrow,canonical,8,1,5,4,chu,20260604_102737
chu_blockade_yarrow_canonical,yarrow,canonical,9,0,,3,"draw:chu,qin",20260604_102737
chu_blockade_yarrow_canonical,yarrow,canonical,10,1,6,6,chu,20260604_102737
chu_blockade_yarrow_canonical,yarrow,canonical,11,1,4,10,yan,20260620_160554
chu_blockade_yarrow_canonical,yarrow,canonical,12,1,11,13,"draw:chu,qin",20260620_160554
chu_blockade_yarrow_canonical,yarrow,canonical,13,1,5,8,"draw:qin,yan",20260620_160554
chu_blockade_yarrow_canonical,yarrow,canonical,14,1,13,5,yan,20260620_160554
chu_blockade_yarrow_canonical,yarrow,canonical,15,1,12,10,yan,20260620_160554
chu_blockade_yarrow_canonical,yarrow,canonical,16,1,11,7,yan,20260620_160554
chu_blockade_yarrow_canonical,yarrow,canonical,17,1,7,8,yan,20260620_160554
chu_blockade_yarrow_severed,yarrow,severed,1,0,,0,qi,20260604_102737
chu_blockade_yarrow_severed,yarrow,severed,2,0,,3,yan,20260604_102737
chu_blockade_yarrow_severed,yarrow,severed,3,0,,0,qi,20260604_102737
chu_blockade_yarrow_severed,yarrow,severed,4,1,10,4,chu,20260604_102738
chu_blockade_yarrow_severed,yarrow,severed,5,0,,0,"draw:chu,wei",20260604_102738
chu_blockade_yarrow_severed,yarrow,severed,6,0,,1,"draw:qi,qin",20260604_102738
chu_blockade_yarrow_severed,yarrow,severed,7,0,,0,"draw:chu,qi,wei",20260604_102738
chu_blockade_yarrow_severed,yarrow,severed,8,0,,1,qin,20260604_102738
chu_blockade_yarrow_severed,yarrow,severed,9,0,,0,"draw:chu,qi",20260604_102738
chu_blockade_yarrow_severed,yarrow,severed,10,0,,3,qin,20260604_102738
v2_experiment_01_yarrow,yarrow,canonical,1,1,5,9,yan,20260329_124241
v2_experiment_01_yarrow,yarrow,canonical,2,1,4,12,yan,20260329_165843
v2_experiment_01_yarrow,yarrow,canonical,3,1,7,7,yan,20260403_125734
v2_experiment_01_yarrow,yarrow,canonical,4,1,2,22,chu,20260403_125737
v2_experiment_01_yarrow,yarrow,canonical,5,1,3,25,yan,20260404_101008
v2_experiment_01_yarrow,yarrow,canonical,6,1,3,27,chu,20260404_101008
v2_experiment_01_yarrow,yarrow,canonical,7,1,7,10,chu,20260427_182540
v2_experiment_01_yarrow,yarrow,canonical,8,1,6,10,qi,20260503_174137
v2_experiment_01_yarrow,yarrow,canonical,9,1,4,5,"draw:chu,zhao",20260504_113552
v2_experiment_01_yarrow,yarrow,canonical,10,1,11,14,chu,20260504_202055
yarrow_tiebreak_a,yarrow,canonical,1,0,,0,qi,20260614_170844
yarrow_tiebreak_a,yarrow,canonical,2,0,,0,"draw:chu,qi,wei,zhao",20260614_170844
yarrow_tiebreak_a,yarrow,canonical,3,0,,0,zhao,20260614_170844
yarrow_tiebreak_a,yarrow,canonical,4,1,7,22,chu,20260614_170844
yarrow_tiebreak_a,yarrow,canonical,5,1,11,6,yan,20260614_170844
yarrow_tiebreak_a,yarrow,canonical,6,1,4,3,qin,20260614_170844
yarrow_tiebreak_a,yarrow,canonical,7,1,9,12,yan,20260614_170844
yarrow_tiebreak_b,yarrow,canonical,1,1,5,29,chu,20260614_170844
yarrow_tiebreak_b,yarrow,canonical,2,1,6,5,yan,20260614_170844
yarrow_tiebreak_b,yarrow,canonical,3,1,5,6,chu,20260614_170845
yarrow_tiebreak_b,yarrow,canonical,4,1,4,4,chu,20260614_170845
yarrow_tiebreak_b,yarrow,canonical,5,1,4,4,yan,20260614_170845
yarrow_tiebreak_b,yarrow,canonical,6,1,3,7,yan,20260614_170845
yarrow_tiebreak_b,yarrow,canonical,7,0,,0,"draw:chu,qi,wei,zhao",20260614_170845
