game_id,condition,campaign,winner,total_rounds,terminal_reason,stalemate
yarrow_decision_only_opus_20260522_220741_04b0,decision_only,v2_experiment_05_decision_only,draw,18,stalemate,1
yarrow_decision_only_opus_20260522_220741_0f5c,decision_only,v2_experiment_05_decision_only,draw,20,round_limit,0
yarrow_decision_only_opus_20260522_220741_0f76,decision_only,v2_experiment_05_decision_only,yan,20,round_limit,0
yarrow_decision_only_opus_20260522_220741_2820,decision_only,v2_experiment_05_decision_only,chu,20,round_limit,0
yarrow_decision_only_opus_20260522_220741_386e,decision_only,v2_experiment_05_decision_only,draw,9,stalemate,1
yarrow_decision_only_opus_20260522_220741_95cf,decision_only,v2_experiment_05_decision_only,draw,19,stalemate,1
yarrow_decision_only_opus_20260522_220741_9b2c,decision_only,v2_experiment_05_decision_only,draw,20,round_limit,0
yarrow_decision_only_opus_20260522_220741_a865,decision_only,v2_experiment_05_decision_only,chu,20,round_limit,0
yarrow_decision_only_opus_20260522_220741_ccf7,decision_only,v2_experiment_05_decision_only,draw,6,stalemate,1
yarrow_decision_only_opus_20260522_220741_dfd9,decision_only,v2_experiment_05_decision_only,chu,4,stalemate,1
yarrow_learning_only_opus_20260522_220744_25a2,learning_only,v2_experiment_06_learning_only,draw,20,round_limit,0
yarrow_learning_only_opus_20260522_220744_5336,learning_only,v2_experiment_06_learning_only,wei,6,stalemate,1
yarrow_learning_only_opus_20260522_220744_67c2,learning_only,v2_experiment_06_learning_only,qi,20,round_limit,0
yarrow_learning_only_opus_20260522_220744_7ab6,learning_only,v2_experiment_06_learning_only,qi,20,round_limit,0
yarrow_learning_only_opus_20260522_220744_8915,learning_only,v2_experiment_06_learning_only,chu,11,stalemate,1
yarrow_learning_only_opus_20260522_220744_9fef,learning_only,v2_experiment_06_learning_only,draw,15,stalemate,1
yarrow_learning_only_opus_20260522_220744_caba,learning_only,v2_experiment_06_learning_only,draw,5,stalemate,1
yarrow_learning_only_opus_20260522_220744_dda0,learning_only,v2_experiment_06_learning_only,yan,20,round_limit,0
yarrow_learning_only_opus_20260522_220744_fcc2,learning_only,v2_experiment_06_learning_only,qi,20,stalemate,1
yarrow_learning_only_opus_20260522_220745_0e41,learning_only,v2_experiment_06_learning_only,yan,16,stalemate,1
