game_id,condition,campaign,winner,han_survived,han_peak_scs,han_final_scs,total_rounds
control_opus_20260329_124001_df65,control,v2_experiment_01,zhao,False,3,0,20
control_opus_20260329_165843_aee4,control,v2_experiment_01,qin,False,2,0,20
control_opus_20260403_125741_8c67,control,v2_experiment_01,yan,False,2,0,16
control_opus_20260403_125743_cf36,control,v2_experiment_01,yan,True,4,1,20
control_opus_20260404_101008_523c,control,v2_experiment_01,yan,True,2,1,20
control_opus_20260404_101008_8291,control,v2_experiment_01,chu,False,2,0,20
control_opus_20260405_163349_12a6,control,v2_experiment_02_yan_control,qin,True,2,1,20
control_opus_20260410_143545_eb4f,control,v2_experiment_03_control,qi,True,2,1,20
control_opus_20260410_195001_d6ad,control,v2_experiment_03_control,qi,True,2,1,20
control_opus_20260329_061949_c4e4,control,v2_smoke_01,qin,True,3,2,17
control_opus_20260329_074444_c154,control,v2_experiment_01,yan,True,2,2,20
random_oracle_opus_20260329_124241_7b69,yarrow,v2_experiment_01_yarrow,yan,True,3,1,20
random_oracle_opus_20260329_165843_fdb1,yarrow,v2_experiment_01_yarrow,yan,False,2,0,20
random_oracle_opus_20260403_125734_f6d2,yarrow,v2_experiment_01_yarrow,yan,False,2,0,20
random_oracle_opus_20260403_125737_c9b7,yarrow,v2_experiment_01_yarrow,chu,False,2,0,20
random_oracle_opus_20260404_101008_0154,yarrow,v2_experiment_01_yarrow,chu,False,3,0,20
random_oracle_opus_20260404_101008_ea16,yarrow,v2_experiment_01_yarrow,yan,True,3,2,20
random_oracle_opus_20260405_163316_81f8,yarrow,v2_experiment_02_yan_yarrow,qi,False,2,0,20
random_oracle_opus_20260427_182540_65a1,yarrow,v2_experiment_01_yarrow,chu,True,2,1,20
random_oracle_opus_20260503_174137_3c96,yarrow,v2_experiment_01_yarrow,qi,False,2,0,20
random_oracle_opus_20260503_212155_c063,yarrow,v2_experiment_02_yarrow,qi,False,2,0,20
tarot_opus_20260410_143545_2eba,tarot,v2_experiment_03_tarot,qi,True,3,2,13
tarot_opus_20260410_195001_0fa6,tarot,v2_experiment_03_tarot,qin,False,2,0,20
tarot_opus_20260411_113544_eacb,tarot,v2_experiment_03_tarot,qin,False,3,0,11
tarot_opus_20260411_174138_b51a,tarot,v2_experiment_03_tarot,qin,False,3,0,20
tarot_opus_20260416_070448_ceea,tarot,v2_experiment_03_tarot,qin,True,3,2,20
tarot_opus_20260416_084349_35a7,tarot,v2_experiment_03_tarot,qin,False,4,0,20
tarot_opus_20260417_064826_fbb9,tarot,v2_experiment_03_tarot,yan,False,3,0,20
tarot_opus_20260417_064827_e0ff,tarot,v2_experiment_03_tarot,yan,True,3,1,20
tarot_opus_20260417_064828_54d8,tarot,v2_experiment_03_tarot,zhao,False,2,0,20
tarot_opus_20260417_064828_ffa6,tarot,v2_experiment_03_tarot,yan,False,4,0,20
scrambled_text_opus_20260423_234641_7c92,scrambled,v2_experiment_04_scrambled,qi,True,2,2,20
scrambled_text_opus_20260424_115648_1bfd,scrambled,v2_experiment_04_scrambled,qi,True,3,1,20
scrambled_text_opus_20260424_232606_d1ae,scrambled,v2_experiment_04_scrambled,qi,False,2,0,20
scrambled_text_opus_20260425_095615_296c,scrambled,v2_experiment_04_scrambled,qi,False,2,0,20
scrambled_text_opus_20260425_234105_6338,scrambled,v2_experiment_04_scrambled,qi,False,2,0,20
scrambled_text_opus_20260426_071651_9c0b,scrambled,v2_experiment_04_scrambled,qin,False,2,0,20
scrambled_text_opus_20260426_141428_207d,scrambled,v2_experiment_04_scrambled,qi,True,2,2,20
scrambled_text_opus_20260426_221514_422f,scrambled,v2_experiment_04_scrambled,zhao,False,2,0,20
scrambled_text_opus_20260427_064006_cb32,scrambled,v2_experiment_04_scrambled,yan,False,2,0,20
scrambled_text_opus_20260427_100040_de3f,scrambled,v2_experiment_04_scrambled,wei,True,2,1,20
