game_id,condition,round,total_rounds,phase,han_scs,sc_delta,pressure,pressure_pos,unit,order_type,action,target,support_state,reasoning_chars
control_opus_20260329_124001_df65,control,1,20,early,3,1,gaining,stable,shangdang,hold,hold,,,49
control_opus_20260329_124001_df65,control,1,20,early,3,1,gaining,stable,zheng,move,move,shangcai,,51
control_opus_20260329_124001_df65,control,2,20,early,1,-2,crisis,losing,zheng,hold,hold,,,155
control_opus_20260329_124001_df65,control,2,20,early,1,-2,crisis,losing,shangcai,support,self_support,zheng,han,127
control_opus_20260329_124001_df65,control,2,20,early,1,-2,crisis,losing,shangdang,move,move,zhongtiao,,148
control_opus_20260329_124001_df65,control,3,20,early,2,1,gaining,stable,zheng,move,move,wuguan_pass,,220
control_opus_20260329_124001_df65,control,3,20,early,2,1,gaining,stable,taihang_north,move,move,shangdang,,184
control_opus_20260329_124001_df65,control,4,20,early,2,0,stable,stable,shangdang,support,self_support,zheng,han,111
control_opus_20260329_124001_df65,control,4,20,early,2,0,stable,stable,zheng,hold,hold,,,138
control_opus_20260329_124001_df65,control,5,20,early,2,0,stable,stable,shangdang,hold,hold,,,155
control_opus_20260329_124001_df65,control,5,20,early,2,0,stable,stable,zheng,move,move,wuguan_pass,,257
control_opus_20260329_124001_df65,control,6,20,early,1,-1,losing,losing,shangdang,hold,hold,,,131
control_opus_20260329_124001_df65,control,6,20,early,1,-1,losing,losing,wuguan_pass,move,move,nanyang,,186
control_opus_20260329_124001_df65,control,7,20,mid,1,0,stable,losing,shangdang,hold,hold,,,249
control_opus_20260329_124001_df65,control,8,20,mid,1,0,stable,losing,shangdang,hold,hold,,,178
control_opus_20260329_124001_df65,control,9,20,mid,1,0,stable,losing,shangdang,move,move,zheng,,290
control_opus_20260329_124001_df65,control,10,20,mid,0,-1,losing,losing,zheng,move,move,luoyang,,134
control_opus_20260329_165843_aee4,control,1,20,early,2,0,stable,stable,shangdang,move,move,zhongtiao,,206
control_opus_20260329_165843_aee4,control,1,20,early,2,0,stable,stable,zheng,move,move,luoyang,,296
control_opus_20260329_165843_aee4,control,2,20,early,2,0,stable,stable,zheng,move,move,luoyang,,193
control_opus_20260329_165843_aee4,control,2,20,early,2,0,stable,stable,zhongtiao,move,move,shangdang,,257
control_opus_20260329_165843_aee4,control,3,20,early,1,-1,losing,losing,shangdang,hold,hold,,,227
control_opus_20260329_165843_aee4,control,3,20,early,1,-1,losing,losing,zheng,move,move,luoyang,,288
control_opus_20260329_165843_aee4,control,4,20,early,1,0,stable,losing,shangdang,hold,hold,,,374
control_opus_20260329_165843_aee4,control,5,20,early,1,0,stable,losing,shangdang,hold,hold,,,394
control_opus_20260329_165843_aee4,control,6,20,early,1,0,stable,losing,shangdang,hold,hold,,,546
control_opus_20260329_165843_aee4,control,7,20,mid,1,0,stable,losing,shangdang,hold,hold,,,539
control_opus_20260329_165843_aee4,control,8,20,mid,0,-1,losing,losing,shangdang,hold,hold,,,82
control_opus_20260403_125741_8c67,control,1,16,early,2,0,stable,stable,shangdang,move,move,taihang,,163
control_opus_20260403_125741_8c67,control,1,16,early,2,0,stable,stable,zheng,move,move,luoyang,,234
control_opus_20260403_125741_8c67,control,2,16,early,1,-1,losing,losing,shangdang,move,move,taihang,,276
control_opus_20260403_125741_8c67,control,2,16,early,1,-1,losing,losing,zheng,move,move,luoyang,,333
control_opus_20260403_125741_8c67,control,3,16,early,1,0,stable,losing,shangdang,hold,hold,,,213
control_opus_20260403_125741_8c67,control,4,16,early,0,-1,losing,losing,shangdang,move,move,zhongtiao,,434
control_opus_20260403_125743_cf36,control,1,20,early,2,0,stable,stable,shangdang,hold,hold,,,220
control_opus_20260403_125743_cf36,control,1,20,early,2,0,stable,stable,zheng,move,move,luoyang,,300
control_opus_20260403_125743_cf36,control,2,20,early,2,0,stable,stable,shangdang,hold,hold,,,124
control_opus_20260403_125743_cf36,control,2,20,early,2,0,stable,stable,zheng,move,move,luoyang,,110
control_opus_20260403_125743_cf36,control,3,20,early,2,0,stable,stable,shangdang,hold,hold,,,180
control_opus_20260403_125743_cf36,control,3,20,early,2,0,stable,stable,yewang,hold,hold,,,256
control_opus_20260403_125743_cf36,control,4,20,early,3,1,gaining,stable,shangdang,move,move,zheng,,27
control_opus_20260403_125743_cf36,control,4,20,early,3,1,gaining,stable,yewang,support,self_support,zheng,han,38
control_opus_20260403_125743_cf36,control,5,20,early,4,1,gaining,stable,zheng,move,move,shangcai,,108
control_opus_20260403_125743_cf36,control,5,20,early,4,1,gaining,stable,shangdang,hold,hold,,,64
control_opus_20260403_125743_cf36,control,5,20,early,4,1,gaining,stable,yewang,hold,hold,,,87
control_opus_20260403_125743_cf36,control,6,20,early,4,0,stable,stable,zheng,move,move,luoyang,,166
control_opus_20260403_125743_cf36,control,6,20,early,4,0,stable,stable,shangcai,support,self_support,zheng,han,168
control_opus_20260403_125743_cf36,control,6,20,early,4,0,stable,stable,shangdang,hold,hold,,,143
control_opus_20260403_125743_cf36,control,6,20,early,4,0,stable,stable,yewang,hold,hold,,,163
control_opus_20260403_125743_cf36,control,7,20,mid,4,0,stable,stable,zheng,move,move,luoyang,,128
control_opus_20260403_125743_cf36,control,7,20,mid,4,0,stable,stable,yewang,support,other_support,henei,wei,140
control_opus_20260403_125743_cf36,control,7,20,mid,4,0,stable,stable,shangdang,hold,hold,,,134
control_opus_20260403_125743_cf36,control,7,20,mid,4,0,stable,stable,shangcai,hold,hold,,,139
control_opus_20260403_125743_cf36,control,8,20,mid,4,0,stable,stable,zheng,move,move,luoyang,,216
control_opus_20260403_125743_cf36,control,8,20,mid,4,0,stable,stable,yewang,move,move,taihang,,211
control_opus_20260403_125743_cf36,control,8,20,mid,4,0,stable,stable,shangdang,support,self_support,taihang,han,187
control_opus_20260403_125743_cf36,control,8,20,mid,4,0,stable,stable,shangcai,hold,hold,,,159
control_opus_20260403_125743_cf36,control,9,20,mid,4,0,stable,stable,zheng,move,move,luoyang,,120
control_opus_20260403_125743_cf36,control,9,20,mid,4,0,stable,stable,shangdang,hold,hold,,,148
control_opus_20260403_125743_cf36,control,9,20,mid,4,0,stable,stable,taihang,support,self_support,shangdang,han,122
control_opus_20260403_125743_cf36,control,9,20,mid,4,0,stable,stable,shangcai,move,move,huai_river,,133
control_opus_20260403_125743_cf36,control,10,20,mid,4,0,stable,stable,zheng,move,move,luoyang,,177
control_opus_20260403_125743_cf36,control,10,20,mid,4,0,stable,stable,shangdang,support,self_support,taihang,han,176
control_opus_20260403_125743_cf36,control,10,20,mid,4,0,stable,stable,taihang,hold,hold,,,182
control_opus_20260403_125743_cf36,control,10,20,mid,4,0,stable,stable,huai_river,hold,hold,,,182
control_opus_20260403_125743_cf36,control,11,20,mid,3,-1,losing,stable,zheng,move,move,luoyang,,197
control_opus_20260403_125743_cf36,control,11,20,mid,3,-1,losing,stable,shangdang,support,self_support,taihang_north,han,195
control_opus_20260403_125743_cf36,control,11,20,mid,3,-1,losing,stable,taihang,move,move,taihang_north,,203
control_opus_20260403_125743_cf36,control,11,20,mid,3,-1,losing,stable,huai_river,hold,hold,,,229
control_opus_20260403_125743_cf36,control,12,20,mid,2,-1,losing,stable,zheng,move,move,luoyang,,133
control_opus_20260403_125743_cf36,control,12,20,mid,2,-1,losing,stable,huai_river,support,self_support,shangcai,han,144
control_opus_20260403_125743_cf36,control,12,20,mid,2,-1,losing,stable,shangdang,hold,hold,,,121
control_opus_20260403_125743_cf36,control,13,20,mid,2,0,stable,stable,shangdang,hold,hold,,,239
control_opus_20260403_125743_cf36,control,13,20,mid,2,0,stable,stable,huai_river,hold,hold,,,221
control_opus_20260403_125743_cf36,control,14,20,late,1,-1,losing,losing,huai_river,hold,hold,,,139
control_opus_20260403_125743_cf36,control,14,20,late,1,-1,losing,losing,shangdang,hold,hold,,,126
control_opus_20260403_125743_cf36,control,15,20,late,1,0,stable,losing,shangdang,hold,hold,,,182
control_opus_20260403_125743_cf36,control,16,20,late,1,0,stable,losing,shangdang,hold,hold,,,201
control_opus_20260403_125743_cf36,control,17,20,late,1,0,stable,losing,shangdang,hold,hold,,,417
control_opus_20260403_125743_cf36,control,18,20,late,1,0,stable,losing,shangdang,hold,hold,,,400
control_opus_20260403_125743_cf36,control,19,20,late,1,0,stable,losing,shangdang,hold,hold,,,328
control_opus_20260403_125743_cf36,control,20,20,late,1,0,stable,losing,shangdang,hold,hold,,,184
control_opus_20260404_101008_523c,control,1,20,early,2,0,stable,stable,shangdang,hold,hold,,,196
control_opus_20260404_101008_523c,control,1,20,early,2,0,stable,stable,zheng,move,move,luoyang,,269
control_opus_20260404_101008_523c,control,2,20,early,2,0,stable,stable,shangdang,hold,hold,,,139
control_opus_20260404_101008_523c,control,2,20,early,2,0,stable,stable,zheng,move,move,luoyang,,185
control_opus_20260404_101008_523c,control,3,20,early,1,-1,losing,losing,shangdang,hold,hold,,,230
control_opus_20260404_101008_523c,control,3,20,early,1,-1,losing,losing,zheng,move,move,luoyang,,299
control_opus_20260404_101008_523c,control,4,20,early,1,0,stable,losing,zheng,move,move,shangcai,,319
control_opus_20260404_101008_523c,control,5,20,early,1,0,stable,losing,zheng,move,move,shangcai,,368
control_opus_20260404_101008_523c,control,6,20,early,1,0,stable,losing,zheng,move,move,shangcai,,358
control_opus_20260404_101008_523c,control,7,20,mid,1,0,stable,losing,yewang,support,other_support,zheng,wei,333
control_opus_20260404_101008_523c,control,8,20,mid,1,0,stable,losing,yewang,move,move,henei,,510
control_opus_20260404_101008_523c,control,9,20,mid,1,0,stable,losing,yewang,support,other_support,henei,zhao,253
control_opus_20260404_101008_523c,control,10,20,mid,1,0,stable,losing,yewang,support,other_support,henei,zhao,636
control_opus_20260404_101008_523c,control,11,20,mid,1,0,stable,losing,yewang,move,move,henei,,194
control_opus_20260404_101008_523c,control,12,20,mid,1,0,stable,losing,henei,hold,hold,,,669
control_opus_20260404_101008_523c,control,13,20,mid,1,0,stable,losing,henei,hold,hold,,,389
control_opus_20260404_101008_523c,control,14,20,late,1,0,stable,losing,henei,hold,hold,,,81
control_opus_20260404_101008_523c,control,15,20,late,1,0,stable,losing,henei,hold,hold,,,291
