game_id,condition,round,method,hexagram_number,card_1,card_2,card_3,posture_1,posture_2,posture_3
random_oracle_opus_20260329_124241_7b69,yarrow,1,yarrow_stalk,18,,,,,,
random_oracle_opus_20260329_124241_7b69,yarrow,2,yarrow_stalk,2,,,,,,
random_oracle_opus_20260329_124241_7b69,yarrow,3,yarrow_stalk,12,,,,,,
random_oracle_opus_20260329_124241_7b69,yarrow,4,yarrow_stalk,32,,,,,,
random_oracle_opus_20260329_124241_7b69,yarrow,5,yarrow_stalk,3,,,,,,
random_oracle_opus_20260329_124241_7b69,yarrow,6,yarrow_stalk,43,,,,,,
random_oracle_opus_20260329_124241_7b69,yarrow,7,yarrow_stalk,44,,,,,,
random_oracle_opus_20260329_124241_7b69,yarrow,8,yarrow_stalk,33,,,,,,
random_oracle_opus_20260329_124241_7b69,yarrow,9,yarrow_stalk,14,,,,,,
random_oracle_opus_20260329_124241_7b69,yarrow,10,yarrow_stalk,48,,,,,,
random_oracle_opus_20260329_124241_7b69,yarrow,11,yarrow_stalk,50,,,,,,
random_oracle_opus_20260329_124241_7b69,yarrow,12,yarrow_stalk,22,,,,,,
random_oracle_opus_20260329_124241_7b69,yarrow,13,yarrow_stalk,16,,,,,,
random_oracle_opus_20260329_124241_7b69,yarrow,14,yarrow_stalk,16,,,,,,
random_oracle_opus_20260329_124241_7b69,yarrow,15,yarrow_stalk,52,,,,,,
random_oracle_opus_20260329_124241_7b69,yarrow,16,yarrow_stalk,38,,,,,,
random_oracle_opus_20260329_124241_7b69,yarrow,17,yarrow_stalk,13,,,,,,
random_oracle_opus_20260329_124241_7b69,yarrow,18,yarrow_stalk,23,,,,,,
random_oracle_opus_20260329_124241_7b69,yarrow,19,yarrow_stalk,48,,,,,,
random_oracle_opus_20260329_124241_7b69,yarrow,20,yarrow_stalk,59,,,,,,
random_oracle_opus_20260329_165843_fdb1,yarrow,1,yarrow_stalk,14,,,,,,
random_oracle_opus_20260329_165843_fdb1,yarrow,2,yarrow_stalk,15,,,,,,
random_oracle_opus_20260329_165843_fdb1,yarrow,3,yarrow_stalk,24,,,,,,
random_oracle_opus_20260329_165843_fdb1,yarrow,4,yarrow_stalk,24,,,,,,
random_oracle_opus_20260329_165843_fdb1,yarrow,5,yarrow_stalk,25,,,,,,
random_oracle_opus_20260403_125734_f6d2,yarrow,1,yarrow_stalk,54,,,,,,
random_oracle_opus_20260403_125734_f6d2,yarrow,2,yarrow_stalk,62,,,,,,
random_oracle_opus_20260403_125734_f6d2,yarrow,3,yarrow_stalk,58,,,,,,
random_oracle_opus_20260403_125734_f6d2,yarrow,4,yarrow_stalk,41,,,,,,
random_oracle_opus_20260403_125734_f6d2,yarrow,5,yarrow_stalk,42,,,,,,
random_oracle_opus_20260403_125734_f6d2,yarrow,6,yarrow_stalk,47,,,,,,
random_oracle_opus_20260403_125734_f6d2,yarrow,7,yarrow_stalk,63,,,,,,
random_oracle_opus_20260403_125734_f6d2,yarrow,8,yarrow_stalk,25,,,,,,
random_oracle_opus_20260403_125737_c9b7,yarrow,1,yarrow_stalk,27,,,,,,
random_oracle_opus_20260403_125737_c9b7,yarrow,2,yarrow_stalk,31,,,,,,
random_oracle_opus_20260403_125737_c9b7,yarrow,3,yarrow_stalk,14,,,,,,
random_oracle_opus_20260403_125737_c9b7,yarrow,4,yarrow_stalk,27,,,,,,
random_oracle_opus_20260404_101008_0154,yarrow,1,yarrow_stalk,30,,,,,,
random_oracle_opus_20260404_101008_0154,yarrow,2,yarrow_stalk,53,,,,,,
random_oracle_opus_20260404_101008_0154,yarrow,3,yarrow_stalk,50,,,,,,
random_oracle_opus_20260404_101008_0154,yarrow,4,yarrow_stalk,6,,,,,,
random_oracle_opus_20260404_101008_0154,yarrow,5,yarrow_stalk,6,,,,,,
random_oracle_opus_20260404_101008_0154,yarrow,6,yarrow_stalk,42,,,,,,
random_oracle_opus_20260404_101008_0154,yarrow,7,yarrow_stalk,57,,,,,,
random_oracle_opus_20260404_101008_0154,yarrow,8,yarrow_stalk,20,,,,,,
random_oracle_opus_20260404_101008_ea16,yarrow,1,yarrow_stalk,42,,,,,,
random_oracle_opus_20260404_101008_ea16,yarrow,2,yarrow_stalk,23,,,,,,
random_oracle_opus_20260404_101008_ea16,yarrow,3,yarrow_stalk,57,,,,,,
random_oracle_opus_20260404_101008_ea16,yarrow,4,yarrow_stalk,2,,,,,,
random_oracle_opus_20260404_101008_ea16,yarrow,5,yarrow_stalk,57,,,,,,
random_oracle_opus_20260404_101008_ea16,yarrow,6,yarrow_stalk,60,,,,,,
random_oracle_opus_20260404_101008_ea16,yarrow,7,yarrow_stalk,62,,,,,,
random_oracle_opus_20260404_101008_ea16,yarrow,8,yarrow_stalk,33,,,,,,
