game_id,condition,state,mean_reasoning_chars,n_orders
control_opus_20260329_124001_df65,control,qin,128.8,54
control_opus_20260329_124001_df65,control,han,162.5,17
control_opus_20260329_124001_df65,control,wei,127.1,29
control_opus_20260329_124001_df65,control,zhao,77.8,124
control_opus_20260329_124001_df65,control,qi,78.0,103
control_opus_20260329_124001_df65,control,chu,64.9,162
control_opus_20260329_124001_df65,control,yan,96.8,41
control_opus_20260329_165843_aee4,control,qin,69.5,150
control_opus_20260329_165843_aee4,control,han,309.3,11
control_opus_20260329_165843_aee4,control,wei,151.0,57
control_opus_20260329_165843_aee4,control,zhao,194.7,34
control_opus_20260329_165843_aee4,control,qi,113.6,69
control_opus_20260329_165843_aee4,control,chu,117.2,77
control_opus_20260329_165843_aee4,control,yan,106.7,94
control_opus_20260403_125741_8c67,control,qin,95.4,97
control_opus_20260403_125741_8c67,control,han,275.5,6
control_opus_20260403_125741_8c67,control,wei,99.9,94
control_opus_20260403_125741_8c67,control,zhao,158.5,18
control_opus_20260403_125741_8c67,control,qi,154.3,23
control_opus_20260403_125741_8c67,control,chu,123.8,43
control_opus_20260403_125741_8c67,control,yan,79.8,113
control_opus_20260403_125743_cf36,control,qin,135.8,60
control_opus_20260403_125743_cf36,control,han,174.3,48
control_opus_20260403_125743_cf36,control,wei,136.1,68
control_opus_20260403_125743_cf36,control,zhao,126.8,78
control_opus_20260403_125743_cf36,control,qi,137.3,19
control_opus_20260403_125743_cf36,control,chu,114.3,94
control_opus_20260403_125743_cf36,control,yan,101.3,122
control_opus_20260404_101008_523c,control,qin,130.6,74
control_opus_20260404_101008_523c,control,han,330.0,23
control_opus_20260404_101008_523c,control,wei,139.1,82
control_opus_20260404_101008_523c,control,zhao,151.6,50
control_opus_20260404_101008_523c,control,qi,158.0,41
control_opus_20260404_101008_523c,control,chu,102.8,104
control_opus_20260404_101008_523c,control,yan,94.6,122
control_opus_20260404_101008_8291,control,qin,111.7,71
control_opus_20260404_101008_8291,control,han,222.0,26
control_opus_20260404_101008_8291,control,wei,106.1,78
control_opus_20260404_101008_8291,control,zhao,105.2,83
control_opus_20260404_101008_8291,control,qi,110.1,69
control_opus_20260404_101008_8291,control,chu,101.1,78
control_opus_20260404_101008_8291,control,yan,93.8,91
control_opus_20260329_074444_c154,control,qin,152.7,72
control_opus_20260329_074444_c154,control,han,244.7,23
control_opus_20260329_074444_c154,control,wei,118.0,73
control_opus_20260329_074444_c154,control,zhao,97.3,28
control_opus_20260329_074444_c154,control,qi,97.4,85
control_opus_20260329_074444_c154,control,chu,97.8,107
control_opus_20260329_074444_c154,control,yan,81.3,132
control_opus_20260507_233507_c007,control,qin,219.7,79
control_opus_20260507_233507_c007,control,han,391.8,11
control_opus_20260507_233507_c007,control,wei,225.2,84
control_opus_20260507_233507_c007,control,zhao,261.9,54
control_opus_20260507_233507_c007,control,qi,229.2,65
control_opus_20260507_233507_c007,control,chu,144.8,104
control_opus_20260507_233507_c007,control,yan,156.2,109
control_opus_20260508_090009_7177,control,qin,255.9,70
control_opus_20260508_090009_7177,control,han,354.2,35
control_opus_20260508_090009_7177,control,wei,189.3,93
control_opus_20260508_090009_7177,control,zhao,292.8,59
control_opus_20260508_090009_7177,control,qi,234.8,60
control_opus_20260508_090009_7177,control,chu,178.5,96
control_opus_20260508_090009_7177,control,yan,215.3,77
control_opus_20260510_184414_c19f,control,qin,261.9,64
control_opus_20260510_184414_c19f,control,han,424.7,17
control_opus_20260510_184414_c19f,control,wei,218.1,73
control_opus_20260510_184414_c19f,control,zhao,291.8,56
control_opus_20260510_184414_c19f,control,qi,202.3,87
control_opus_20260510_184414_c19f,control,chu,188.3,76
control_opus_20260510_184414_c19f,control,yan,188.5,92
control_opus_20260511_001142_57fe,control,qin,223.7,93
control_opus_20260511_001142_57fe,control,han,513.3,11
control_opus_20260511_001142_57fe,control,wei,244.3,78
control_opus_20260511_001142_57fe,control,zhao,186.0,120
control_opus_20260511_001142_57fe,control,qi,207.7,74
control_opus_20260511_001142_57fe,control,chu,264.3,69
control_opus_20260511_001142_57fe,control,yan,303.8,52
random_oracle_opus_20260329_124241_7b69,yarrow,qin,144.5,35
random_oracle_opus_20260329_124241_7b69,yarrow,han,233.1,35
random_oracle_opus_20260329_124241_7b69,yarrow,wei,108.3,38
random_oracle_opus_20260329_124241_7b69,yarrow,zhao,96.8,93
random_oracle_opus_20260329_124241_7b69,yarrow,qi,128.9,33
random_oracle_opus_20260329_124241_7b69,yarrow,chu,84.2,116
random_oracle_opus_20260329_124241_7b69,yarrow,yan,73.8,135
random_oracle_opus_20260329_165843_fdb1,yarrow,qin,98.4,80
random_oracle_opus_20260329_165843_fdb1,yarrow,han,195.1,8
random_oracle_opus_20260329_165843_fdb1,yarrow,wei,77.9,121
random_oracle_opus_20260329_165843_fdb1,yarrow,zhao,130.2,57
random_oracle_opus_20260329_165843_fdb1,yarrow,qi,113.4,58
random_oracle_opus_20260329_165843_fdb1,yarrow,chu,106.1,84
random_oracle_opus_20260329_165843_fdb1,yarrow,yan,85.1,99
random_oracle_opus_20260403_125734_f6d2,yarrow,qin,100.2,93
